Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,
Cold Justice,2013,16+,7.9,80%,1,0,0,0,1,
Hyperdrive,2019,7+,8.1,100%,1,0,0,0,1,
Time: The Kalief Browder Story,2017,16+,8.5,100%,1,0,0,0,1,
The Toys That Made Us,2017,16+,8.1,100%,1,0,0,0,1,
Seven Seconds,2018,18+,7.7,77%,1,0,0,0,1,
Spinning Out,2020,18+,7.7,63%,1,0,0,0,1,
Killer Inside: The Mind of Aaron Hernandez,2020,18+,7.4,75%,1,0,0,0,1,
El internado,2007,7+,8.2,,1,0,0,0,1,
Frozen Planet,2011,all,9,,1,0,0,0,1,
London Spy,2015,18+,7.5,86%,1,0,0,0,1,
Parasyte -the maxim-,2014,18+,8.4,,1,1,0,0,1,
Containment,2016,16+,7.2,50%,1,0,0,0,1,
Black Lightning,2018,16+,6.1,95%,1,0,0,0,1,
Merlí,2015,16+,8.6,,1,0,0,0,1,
Derek,2013,16+,8,68%,1,0,0,0,1,
Last Chance U,2016,16+,8.5,93%,1,0,0,0,1,
Mars,2016,7+,7.5,61%,1,0,0,0,1,
Love is Blind,2020,7+,6,73%,1,0,0,0,1,
Love 101,2020,18+,7.7,,1,0,0,0,1,
3%,2016,7+,7.4,33%,1,0,0,0,1,
Zoo,2015,16+,6.8,82%,1,0,0,0,1,
Daybreak,2019,18+,6.7,70%,1,0,0,0,1,
Hemlock Grove,2013,18+,7.1,38%,1,0,0,0,1,
Trailer Park Boys,2001,18+,8.4,,1,0,0,0,1,
Private Practice,2007,16+,6.6,51%,1,1,0,0,1,
Ragnarok,2020,18+,7.5,,1,0,0,0,1,
Akame ga Kill!,2014,18+,7.9,,1,1,0,0,1,
Insatiable,2018,16+,6.6,11%,1,0,0,0,1,
No Tomorrow,2016,7+,7.2,88%,1,0,0,0,1,
The Ranch,2016,16+,7.5,,1,0,0,0,1,
Ramayan,1987,all,9.3,,1,0,0,0,1,
Surviving R. Kelly,2019,18+,7.6,95%,1,0,0,0,1,
Easy,2016,18+,6.9,90%,1,0,0,0,1,
Self Made: Inspired by the Life of Madam C.J. Walker,2020,16+,7.4,77%,1,0,0,0,1,
Knightfall,2017,16+,6.8,60%,1,0,0,0,1,
Kim's Convenience,2016,16+,8.1,,1,0,0,0,1,
Kengan Ashura,2019,,8,,1,0,0,0,1,
Spotless,2015,,7.9,100%,1,0,0,0,1,
Carmen Sandiego,2019,7+,7.9,93%,1,0,0,0,1,
Inside Bill's Brain: Decoding Bill Gates,2019,16+,8,50%,1,0,0,0,1,
Saint Seiya,1986,7+,8.4,,1,0,1,0,1,
Flint Town,2018,18+,8,95%,1,0,0,0,1,
Rake,2010,16+,8.6,100%,1,1,1,0,1,
Rilakkuma and Kaoru,2019,7+,8.4,100%,1,0,0,0,1,
Scooby-Doo! Mystery Incorporated,2010,7+,8,,1,0,0,0,1,
anohana: The Flower We Saw That Day,2011,16+,8.2,,1,0,0,0,1,
Africa,2013,all,9,,1,0,0,0,1,
The Frankenstein Chronicles,2015,16+,7.3,78%,1,0,0,0,1,
Meteor Garden,2018,16+,8.2,,1,0,0,0,1,
Wu Assassins,2019,18+,6.4,83%,1,0,0,0,1,
The Black Donnellys,2007,16+,8.1,40%,1,0,0,0,1,
H2O: Just Add Water,2006,all,7.2,,1,1,1,0,1,
Collateral,2018,7+,6.7,78%,1,0,0,0,1,
1983,2018,18+,6.8,100%,1,0,0,0,1,
November 13: Attack on Paris,2018,18+,8.3,100%,1,0,0,0,1,
Black Butler,2008,16+,7.8,,1,1,0,0,1,
Green Eggs and Ham,2019,,8.2,100%,1,0,0,0,1,
The Confession Tapes,2017,16+,7.5,100%,1,0,0,0,1,
Bad Blood,2017,18+,7.5,80%,1,0,0,0,1,
Formula 1: Drive to Survive,2019,16+,8.6,,1,0,0,0,1,
The Great British Bake Off,2010,7+,8.6,,1,0,0,0,1,
The Trials of Gabriel Fernandez,2020,18+,8.2,80%,1,0,0,0,1,
Ugly Delicious,2018,18+,7.8,100%,1,0,0,0,1,
The Night Shift,2014,16+,7.4,30%,1,0,0,0,1,
Impractical Jokers,2011,16+,8.5,,1,0,0,0,1,
The Andy Griffith Show,1960,all,8.3,,1,0,1,0,1,
Itaewon Class,2020,,8.2,,1,0,0,0,1,
Aquarius,2015,16+,7.1,77%,1,0,0,0,1,
Caliphate,2020,,8.2,,1,0,0,0,1,
Black Summer,2019,18+,6.4,75%,1,0,0,0,1,
Bonding,2019,16+,7.2,64%,1,0,0,0,1,
Miraculous: Tales of Ladybug & Cat Noir,2015,7+,7.8,,1,0,0,0,1,
Animaniacs,1993,all,7.9,,1,1,0,0,1,
When Calls the Heart,2014,all,8.2,,1,0,0,0,1,
Young & Hungry,2014,16+,7.4,60%,1,0,0,0,1,
Club de Cuervos,2015,18+,8.2,80%,1,0,0,0,1,
I'm Sorry,2017,7+,7.9,75%,1,0,0,0,1,
The Universe,2007,16+,8.8,,1,0,0,0,1,
The Chalet,2018,18+,7,100%,1,0,0,0,1,
My Next Guest Needs No Introduction With David Letterman,2018,18+,7.9,83%,1,0,0,0,1,
Still Game,2002,16+,8.9,,1,0,0,0,1,
NOVA,1974,7+,8.7,,1,0,1,0,1,
The Confession Killer,2019,16+,7.4,100%,1,0,0,0,1,
Father Brown,2013,7+,7.7,,1,0,0,0,1,
Bordertown,2016,7+,7.6,39%,1,0,0,0,1,
Battle Creek,2015,16+,7.3,96%,1,0,0,0,1,
Valhalla Murders,2019,18+,7.1,,1,0,0,0,1,
Scream: The TV Series,2015,16+,7.2,,1,0,0,0,1,
Special,2019,18+,7.6,95%,1,0,0,0,1,
CSI: Miami,2002,16+,6.4,,1,1,0,0,1,
3Below: Tales of Arcadia,2018,7+,7.8,100%,1,0,0,0,1,
Mystery Science Theater 3000: The Return,2017,16+,8,100%,1,0,0,0,1,
Dear White People,2017,16+,6.2,95%,1,0,0,0,1,
LEGO Ninjago: Masters of Spinjitzu,2012,all,6.8,,1,0,1,0,1,
The English Game,2020,,7.6,67%,1,0,0,0,1,
White Gold,2017,18+,7.4,88%,1,0,0,0,1,
Crazyhead,2016,,7.3,100%,1,0,0,0,1,
The Protector,2018,16+,6.9,,1,0,0,0,1,
Dirty John,2018,16+,7.1,71%,1,0,0,0,1,
Get Shorty,2017,18+,8.2,,1,0,0,0,1,
30 for 30,2009,7+,8.8,,1,0,0,0,1,
Bard of Blood,2019,,7,,1,0,0,0,1,
The Great Train Robbery,2013,,7.4,78%,1,0,0,0,1,
Devilman: Crybaby,2018,,7.6,80%,1,0,0,0,1,
Good Witch,2015,7+,7.3,,1,0,0,0,1,
It's Bruno!,2019,7+,7.5,100%,1,0,0,0,1,
Gurren Lagann,2007,16+,8.3,,1,0,0,0,1,
Gentefied,2020,16+,7.3,88%,1,0,0,0,1,
Victorious,2010,7+,6.9,,1,0,0,0,1,
Dynasty,2017,16+,7.3,,1,0,0,0,1,
The Curious Creations of Christine McConnell,2018,7+,7.7,100%,1,0,0,0,1,
El Chapo,2017,16+,7.8,,1,0,0,0,1,
Trinkets,2019,7+,7.1,50%,1,0,0,0,1,
The Get Down,2016,16+,8.3,,1,0,0,0,1,
Masum,2017,16+,8.5,,1,0,0,0,1,
My Little Pony: Friendship Is Magic,2010,7+,7.6,,1,1,0,0,1,
Fuller House,2016,7+,6.8,28%,1,0,0,0,1,
Kill la Kill,2013,18+,7.9,,1,0,0,0,1,
Dark Tourist,2018,18+,7.6,70%,1,0,0,0,1,
Shtisel,2013,,8.7,,1,0,0,0,1,
Great News,2017,7+,7,84%,1,0,0,0,1,
Ouran High School Host Club,2006,16+,8.2,,1,1,0,0,1,
Grand Hotel,2011,7+,8.4,,1,0,0,0,1,
The Curse of Oak Island,2014,7+,7,,1,1,0,0,1,
Workin' Moms,2017,18+,7.5,,1,0,0,0,1,
Z Nation,2014,18+,6.7,,1,0,0,0,1,
Losers,2019,,7.7,100%,1,0,0,0,1,
"Roswell, New Mexico",2019,16+,6.1,55%,1,0,0,0,1,
Comedians in Cars Getting Coffee,2012,16+,8.1,,1,0,0,0,1,
Conan,2010,16+,8.1,,1,0,0,0,1,
The Guild,2007,,8.2,,1,0,0,0,1,
Friends from College,2017,18+,6.8,24%,1,0,0,0,1,
Wormwood,2017,16+,7,92%,1,0,0,0,1,
Watership Down,2018,7+,7.2,77%,1,0,0,0,1,
Mr. Sunshine,2018,,8.8,,1,0,0,0,1,
Bitten,2014,16+,7,,1,0,0,0,1,
No Game No Life,2014,16+,7.9,,1,0,0,0,1,
Violet Evergarden,2018,16+,8.4,,1,0,0,0,1,
Clannad,2007,7+,7.9,,1,1,0,0,1,
Gypsy,2017,18+,6.9,38%,1,0,0,0,1,
Virgin River,2019,16+,7.5,,1,0,0,0,1,
Gilmore Girls: A Year in the Life,2016,16+,7.7,,1,0,0,0,1,
The Innocent Man,2018,18+,7.4,73%,1,0,0,0,1,
Tuca & Bertie,2019,16+,7.4,100%,1,0,0,0,1,
#blackAF,2020,18+,6.6,,1,0,0,0,1,
Lovesick,2014,18+,8.1,36%,1,0,0,0,1,
Mr. Iglesias,2019,16+,7.1,88%,1,0,0,0,1,
